category,type of issue,funds lost,rugged_date,symbol,name,id,price_float,market_cap_float,volume,wasrekt,contract_chain,contract_address
Token,Honeypot,,2021-05-18,snk,snake token,snook,1.2,,,1,polygon-pos,0x689f8e5913c158ffb5ac5aeb83b3c875f5d20309
Token,Honeypot,,2021-03-27,sos,solstarter,solana-swap,0.5098435,,,1,solana,HDa3zJc12ahykSsBRvgiWzr6WLEByf36yzKKbVvy4gnF
Token,Honeypot,,2021-09-13,dragon,dragon farm,soldragon,0.000935895,,11052.71,1,solana,3FG9DAv3CDBEh1CQJhRM9BYe5thUMvP5GmW46524Qahv
Token,Honeypot,,2021-09-13,dragon,dragon farm,soldragon,0.000969555,,,1,solana,3FG9DAv3CDBEh1CQJhRM9BYe5thUMvP5GmW46524Qahv
Token,Honeypot,,2021-04-30,media,media network,solmedia,0.005979335,,43711.0,1,solana,BNT4uhSStq1beFADv3cq4wQAVfWB392PjAaxTBpNeWxu
Token,Honeypot,,2021-04-30,media,media network,solmedia,0.008597205,,,1,solana,BNT4uhSStq1beFADv3cq4wQAVfWB392PjAaxTBpNeWxu
Token,Rugpull,"$43,100",2023-06-20,goat,greatest of all...,sonic-the-goat,3.437e-07,,12599.46,1,solana,59u8qAD2S2gEtsY5Vs7dJ95YspnHavyHEtRfzCEb9F7G
Token,Rugpull,"$43,100",2023-06-20,goat,greatest of all...,sonic-the-goat,3.807e-07,,,1,solana,59u8qAD2S2gEtsY5Vs7dJ95YspnHavyHEtRfzCEb9F7G
Token,Honeypot,,2021-04-12,karma,karma,sora-chameleon,631.035,,2163.75,1,,
Token,Rugpull,"$33,000",2023-03-19,id,spaceid,space-id,0.266433,,84811021.0,1,"binance-smart-chain, ethereum","0x2dff88a56767223a5529ea5960da7a3f5f766406, 0x2dff88a56767223a5529ea5960da7a3f5f766406"
Token,Rugpull,"$33,000",2023-03-19,id,spaceid,space-id,0.46214,,,1,"binance-smart-chain, ethereum","0x2dff88a56767223a5529ea5960da7a3f5f766406, 0x2dff88a56767223a5529ea5960da7a3f5f766406"
Token,Honeypot,,2021-05-30,sphri,spheriumfinance,spherium,0.102466,,49797.0,1,"ethereum, binance-smart-chain, avalanche, polygon-pos","0x8a0cdfab62ed35b836dc0633482798421c81b3ec, 0x8ea93d00cc6252e2bd02a34782487eed65738152, 0x2fd4d793c1905d82018d75e3b09d3035856890a1, 0x2fd4d793c1905d82018d75e3b09d3035856890a1"
Token,Honeypot,,2021-05-30,sphri,spheriumfinance,spherium,0.105359,,,1,"ethereum, binance-smart-chain, avalanche, polygon-pos","0x8a0cdfab62ed35b836dc0633482798421c81b3ec, 0x8ea93d00cc6252e2bd02a34782487eed65738152, 0x2fd4d793c1905d82018d75e3b09d3035856890a1, 0x2fd4d793c1905d82018d75e3b09d3035856890a1"
Token,Honeypot,,2021-03-28,coil,coilswap,spiraldao-coil,1.565,,71379.0,1,ethereum,0x823e1b82ce1dc147bbdb25a203f046afab1ce918
Token,Honeypot,,2021-03-28,coil,coilswap,spiraldao-coil,1.58,,,1,ethereum,0x823e1b82ce1dc147bbdb25a203f046afab1ce918
